Item name,Quantity,Price,Use,Misc ,Link
Gates 2gt 20T pulleys 9mm,4,14,"Pulleys, drive the belts","3.50 ea; Gates is the only supplier that uses gate's curvelinear belt profile that actually matches the belts. Conventionally, the circular profile is ok for lower speeds/tensions, but with GT3 and speeds of over 3000mm/s, this will quickly shred the belts into rubber dust. It happpened with panda v1.",https://lettucehead3d.com/product/gates-2gt-pulleys/
Dehubbed Gates 2gt 20T pulleys 9mm,4,24,"Pulleys, drive the belts, the dehubbed ones are specially modified to fit tight areas","5.50 ea; Gates is the only supplier that uses gate's curvelinear belt profile that actually matches the belts. Conventionally, the circular profile is ok for lower speeds/tensions, but with GT3 and speeds of over 3000mm/s, this will quickly shred the belts into rubber dust. It happpened with panda v1.",https://lettucehead3d.com/product/dehubbed-10-9mm-gates-gt2-pulley/
BMG extruder gear kit,1,7,Extruder pushes filament into hotend,,https://www.aliexpress.us/item/3256807729482253.html?spm=a2g0o.productlist.main.8.14712fafCcsuhj&aem_p4p_detail=2026071023151514241764503674400008694670&algo_pvid=61d38d22-54e8-4655-bc94-4c31fa8ae766&algo_exp_id=61d38d22-54e8-4655-bc94-4c31fa8ae766-7&pdp_ext_f=%7B%22order%22%3A%22755%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.42%210.99%21%21%2123.11%216.73%21%40210319b717837505157358270ebd14%2112000057617644584%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=lMcH3yiUaZYU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007915797005%7C_p_origin_prod%3A&search_p4p_id=2026071023151514241764503674400008694670_2
Polyiso Foam,1,25,Insulation for chamber,"4x8 feet, 0.5in thick; any other foam like styrofoam lacks adequate flame retardance or heat resistance to survive.",https://www.lowes.com/pd/Johns-Manville-Common-0-5-in-x-4-ft-x-8-ft-Actual-0-5-in-x-4-ft-x-8-ft-AP-Foil-1-R-2-7-Faced-Polyisocyanurate-Foam-Board-Insulation/3851113
M3X0.5 - A2 Stainless DIN 912 - Allen Socket Head Cap Screw,70,4.9,,,https://belmetric.com/m3x0-5-a2-stainless-din-912-allen-socket-head-cap-screw/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,65,6.5,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,30,10.2,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,50,6,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
M5X0.8 Button Head Cap Screw - A2 Stainless ISO 7380-1,35,4.55,,,https://belmetric.com/m5x0-8-button-head-cap-screw-a2-stainless-iso-7380-1/
Shipping for fasteners,1,17,they dont have free shipping :pensive:,,https://belmetric.com/
Beacon RevH- used,1,45,High resolution eddy current scanner for bed probing -  the BTT eddy cannot be used here as the chamber temp will melt it. ,purchasing from a local friend,dne
60T pulley 3gt 10mm width,2,40,Reduction pulley for gantry,,https://www.amazon.com/Pitch-Timing-Pulley-Synchronous-Wheel/dp/B07RQLLF6Y/ref=sr_1_3?crid=1G1K0ADSV9ZUL&dib=eyJ2IjoiMSJ9.e7Rdt-C9sFHZ94s0YCWyMcIahSZ_FcMe8yDoXE3OVLXY5nra8Eh9DTi1O-oxTCmN4ybJncn4pFf-gvapmWlMFVG6auIJJTd6TtPowIzT33bB7e26qMWz2Jh-dqmatKS4fpvzQuzic_-9OF4hqCMK5T4vMyz56VZp7ZXbDyh-pcb8paoSd8Cm0AygvRotHPMAN9IBRE3Qc-Jge9wcw5VCG9Knmm576jbeQc7EFQLytsM.UTimK7-4vJV1QZbw4Q0xIsW7qZISYrlh_K3Za2lueXA&dib_tag=se&keywords=3gt%2B60t%2Bpulley&qid=1783757353&sprefix=3gt%2B60t%2Bpulley%2Caps%2C249&sr=8-3&th=1
16T spline pulleys 15mm width,2,30,Drive pulley for falconXY drive,These fit the proprietary high load falcon 500 spline.,https://wcproducts.com/products/wcp-0318
Neoprene high temp closed loop gt3 3gt pulleys,2,30,Ultra high torque belts for reduction system ,"19mm, gt3 3gt",https://shop.sdp-si.com/a36r53m064090.html
Square aluminum tube,1,25,X axis beam,"500mm, originally meant to use high-temp carbon fiber tube however they are too expensive. ",https://www.aliexpress.us/item/3256807148402739.html?spm=a2g0o.productlist.main.3.247dDgsGDgsGxF&algo_pvid=43587601-aa41-41ac-8807-d3ce82219976&algo_exp_id=43587601-aa41-41ac-8807-d3ce82219976-2&pdp_ext_f=%7B%22order%22%3A%22572%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.46%218.81%21%21%21212.31%2159.45%21%402101e8f317837594919208174e1615%2112000040315323536%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895&curPageLogUid=LIAKXEIEbUh7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007334717491%7C_p_origin_prod%3A
Panasonic solid state relays,2,45,High frequency switching to bed and chamber heaters,"I'd prefer omron, but we gotta save money.  If someone sends me an aliexpress link with a random china relay telling me it's cheaper i will kill them. mains power is no joke, and it's gonna be real fun when a relay fails closed and my printer decides it identifies as a kitchen range.",https://west3d.com/products/panasonic-aqa211vl-15a-solid-state-relay-ssr?_pos=2&_sid=9cd55293f&_ss=r
MT6835 encoder,2,15,"High resolution, super high precision absolute encoder for FOC algorithm of falcon 500 motor",,https://www.aliexpress.us/item/3256808989767803.html?spm=a2g0o.productlist.main.41.33a313cbflu3ZL&algo_pvid=81dd0b87-0694-4951-b3f3-bddb80b8d8fd&algo_exp_id=81dd0b87-0694-4951-b3f3-bddb80b8d8fd-38&pdp_ext_f=%7B%22order%22%3A%22137%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.00%214.00%21%21%217.00%214.00%21%40210319b017837607569293257e95d4%2112000048202152251%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A69f49312%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=y4qUQHCuXzCH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009176082555%7C_p_origin_prod%3A
,353,1162.15,,,
